prompt_tokens,completion_tokens,total_tokens
321,189,510
526,631,1157
886,879,1765
1065,167,1232
342,340,682
673,955,1628
1207,2011,3218
1063,113,1176
286,175,461
506,558,1064
808,683,1491
1068,142,1210
320,149,469
485,562,1047
816,908,1724
1062,128,1190
300,163,463
493,656,1149
905,855,1760
1057,137,1194
304,169,473
494,634,1128
877,677,1554
1065,166,1231
341,243,584
576,741,1317
992,1012,2004
1066,140,1206
316,170,486
504,610,1114
862,1193,2055
1070,156,1226
336,169,505
507,557,1064
813,962,1775
1062,109,1171
281,156,437
486,556,1042
804,600,1404
1079,166,1245
355,209,564
556,694,1250
959,794,1753
1087,197,1284
394,279,673
634,660,1294
934,1150,2084
1077,159,1236
346,254,600
599,766,1365
1029,931,1960
1063,156,1219
329,228,557
559,716,1275
965,934,1899
1051,138,1189
299,127,426
446,694,1140
932,652,1584
1062,128,1190
300,176,476
506,619,1125
867,745,1612
1074,157,1231
341,188,529
530,717,1247
978,1270,2248
1085,162,1247
357,374,731
727,698,1425
970,703,1673
1074,138,1212
322,137,459
479,568,1047
828,827,1655
1062,113,1175
285,163,448
493,855,1348
1103,994,2097
1077,188,1265
375,201,576
546,635,1181
898,1163,2061
1040,113,1153
263,127,390
435,1011,1446
1238,965,2203
1071,138,1209
319,192,511
531,614,1145
872,835,1707
1072,138,1210
320,184,504
524,662,1186
920,769,1689
1087,191,1278
388,316,704
671,926,1597
1200,1513,2713
1060,175,1235
345,257,602
585,828,1413
1074,795,1869
1071,109,1180
290,152,442
491,702,1193
959,747,1706
1047,138,1185
295,171,466
486,670,1156
903,759,1662
1059,128,1187
297,166,463
493,718,1211
963,931,1894
1058,138,1196
306,178,484
504,579,1083
823,705,1528
1058,106,1164
274,144,418
470,692,1162
936,665,1601
1091,179,1270
380,188,568
547,557,1104
834,736,1570
1060,166,1226
336,221,557
549,602,1151
848,816,1664
1042,138,1180
290,170,460
480,599,1079
827,667,1494
1057,142,1199
309,215,524
540,671,1211
914,861,1775
1074,184,1258
368,203,571
545,834,1379
1094,891,1985
1059,109,1168
278,110,388
437,822,1259
1067,765,1832
1077,113,1190
300,158,458
503,729,1232
992,897,1889
1073,109,1182
292,129,421
470,818,1288
1077,1009,2086
1072,189,1261
371,248,619
588,890,1478
1148,846,1994
1052,133,1185
295,180,475
500,712,1212
950,786,1736
1077,113,1190
300,173,473
518,733,1251
996,761,1757
1077,113,1190
300,138,438
483,788,1271
1051,849,1900
1067,109,1176
286,134,420
469,506,975
