prompt_tokens,completion_tokens,total_tokens
933,112,1045
936,173,1109
937,184,1121
262,173,435
957,163,1120
338,248,586
324,270,594
461,363,824
337,202,539
326,227,553
540,384,924
558,328,886
561,403,964
514,517,1031
601,398,999
736,669,1405
518,572,1090
583,796,1379
770,731,1501
925,112,1037
929,110,1039
956,143,1099
951,173,1124
939,173,1112
256,140,396
254,162,416
316,179,495
329,251,580
341,261,602
490,416,906
545,341,886
424,678,1102
567,416,983
634,455,1089
442,299,741
869,483,1352
542,500,1042
486,267,753
629,741,1370
945,143,1088
919,110,1029
934,112,1046
944,157,1101
950,157,1107
246,144,390
263,166,429
305,186,491
324,191,515
318,203,521
502,308,810
418,523,941
486,401,887
455,354,809
514,418,932
496,722,1218
608,496,1104
550,376,926
934,352,1286
704,656,1360
931,112,1043
938,126,1064
944,151,1095
946,173,1119
949,131,1080
260,167,427
312,192,504
336,229,565
297,151,448
281,171,452
453,421,874
491,565,1056
530,390,920
455,487,942
464,357,821
598,433,1031
614,535,1149
557,430,987
698,500,1198
771,677,1448
953,173,1126
939,187,1126
